spot_id,pattern_id,classification,actionable,severity,evidence_text,structured_context,reason
1,NV_transit_access,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
2,S003,ambiguous,False,low,Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
2,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso. Perfecto para negocio en crecimiento.,,No directly comparable field in supplied payload.
3,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
3,NV_market_demand,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
5,NV_transit_access,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
5,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
6,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
8,S001,semantic_cross_field_mismatch,True,medium,Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
8,NV_market_demand,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Seguridad 24/7 y control de acceso. Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
9,NV_transit_access,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
9,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
10,S003,ambiguous,False,low,Perfecto para negocio en crecimiento. Seguridad 24/7 y control de acceso.,security_type=basic,Ontology does not establish incompatibility with strong security wording.
11,NV_road_access,not_verifiable,False,low,Excelente ubicación con acceso a vías principales. Ideal para oficinas corporativas o centro de distribución. Espacio versátil adaptable a diferentes giros.,,No directly comparable field in supplied payload.
12,NV_transit_access,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
12,NV_market_demand,not_verifiable,False,low,Fácil acceso a transporte público y avenidas principales. Zona de alta plusvalía y demanda comercial. Recién remodelado con acabados modernos.,,No directly comparable field in supplied payload.
13,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
15,NV_transit_access,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
15,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento. Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales.,,No directly comparable field in supplied payload.
16,NV_transit_access,not_verifiable,False,low,Recién remodelado con acabados modernos. Fácil acceso a transporte público y avenidas principales. Espacio listo para ocupar con acabados de primera.,,No directly comparable field in supplied payload.
17,NV_all_services,not_verifiable,False,low,Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
18,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
18,NV_road_access,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales. Excelente ubicación con acceso a vías principales. Amplio espacio con buena iluminación natural.,,No directly comparable field in supplied payload.
21,S001,semantic_cross_field_mismatch,True,medium,Seguridad 24/7 y control de acceso. Amplio espacio con buena iluminación natural.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
22,NV_market_demand,not_verifiable,False,low,Zona de alta plusvalía y demanda comercial.,,No directly comparable field in supplied payload.
23,NV_near_shopping_centers,not_verifiable,False,low,Ubicación estratégica cerca de centros comerciales.,,No directly comparable field in supplied payload.
24,NV_road_access,not_verifiable,False,low,Amplio espacio con buena iluminación natural. Excelente ubicación con acceso a vías principales. Seguridad 24/7 y control de acceso.,,No directly comparable field in supplied payload.
25,NV_road_access,not_verifiable,False,low,Perfecto para negocio en crecimiento. Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
25,NV_all_services,not_verifiable,False,low,Perfecto para negocio en crecimiento. Excelente ubicación con acceso a vías principales. Cuenta con todos los servicios y estacionamiento.,,No directly comparable field in supplied payload.
26,NV_market_demand,not_verifiable,False,low,Espacio versátil adaptable a diferentes giros. Zona de alta plusvalía y demanda comercial. Ideal para oficinas corporativas o centro de distribución.,,No directly comparable field in supplied payload.
27,S001,semantic_cross_field_mismatch,True,medium,Recién remodelado con acabados modernos. Amplio espacio con buena iluminación natural.,sector_name=Land,Land listing uses building/interior-condition language; catalog coherence review recommended.
